Lat,Lon,H0,H1,H2,H3,H4,H5,H6,H7,H8
25.0039,89.6847,17.1289,17.3789,17.4615,17.4020,17.3817,17.3671,17.3273,17.3056,17.3059
25.0088,89.7279,17.6196,17.8450,17.8787,17.8284,17.8185,17.8013,17.7628,17.7510,17.7537
24.9706,89.7440,18.2470,18.4327,18.4002,18.3645,18.3664,18.3452,18.3081,18.3090,18.3127
24.9393,89.7596,18.5014,18.6640,18.6132,18.5854,18.5892,18.5663,18.5296,18.5341,18.5370
24.9284,89.7656,18.6393,18.7993,18.7300,18.7078,18.7131,18.6871,18.6488,18.6570,18.6591
24.9140,89.7889,18.6782,18.8456,18.7651,18.7445,18.7505,18.7222,18.6817,18.6918,18.6936
24.8696,89.7882,18.7683,18.9556,18.8472,18.8301,18.8380,18.8038,18.7578,18.7722,18.7734
24.8383,89.8105,18.8400,19.0400,18.9000,18.8900,18.9000,18.8600,18.8100,18.8300,18.8300
25.0208,89.7546,16.7256,16.8112,16.9888,17.0668,17.1140,17.1561,17.1855,17.2050,17.2214
25.0122,89.7884,16.7258,16.8117,16.9890,17.0668,17.1141,17.1561,17.1855,17.2050,17.2214
25.0034,89.7904,16.7752,16.8798,17.0527,17.1395,17.1946,17.2431,17.2771,17.2998,17.3185
24.9878,89.7854,16.9357,17.0509,17.1846,17.2675,17.3250,17.3729,17.4067,17.4295,17.4480
24.9753,89.7744,17.0863,17.1992,17.3010,17.3747,17.4311,17.4739,17.5041,17.5254,17.5428
24.9644,89.7864,17.1143,17.2312,17.3335,17.4058,17.4623,17.5053,17.5353,17.5567,17.5743
24.9425,89.7967,17.1686,17.2920,17.3941,17.4633,17.5198,17.5624,17.5915,17.6130,17.6306
24.9314,89.8003,17.2085,17.3218,17.4110,17.4742,17.5275,17.5688,17.5974,17.6187,17.6362
24.9125,89.7986,17.2603,17.3634,17.4351,17.4901,17.5386,17.5781,17.6059,17.6271,17.6443
24.8886,89.8252,17.2922,17.3912,17.4517,17.5015,17.5470,17.5850,17.6121,17.6332,17.6503
24.8634,89.8445,17.3134,17.4103,17.4630,17.5096,17.5529,17.5899,17.6165,17.6375,17.6544
24.9868,89.8971,14.4397,14.7642,15.0459,15.1466,15.1523,15.1683,15.1699,15.1496,15.1480
24.9779,89.8929,15.1122,15.7668,15.5042,15.5285,15.5479,15.5652,15.5759,15.5814,15.5895
24.9657,89.9042,15.8631,16.1184,16.0389,16.0777,16.1132,16.1421,16.1620,16.1762,16.1913
24.9232,89.9079,16.4621,16.6283,16.6411,16.6917,16.7388,16.7766,16.8031,16.8229,16.8428
24.8960,89.9084,16.9026,17.0285,17.0822,17.1385,17.1912,17.2337,17.2638,17.2862,17.3055
24.8826,89.8972,17.0975,17.2167,17.2865,17.3476,17.4019,17.4457,17.4765,17.4997,17.5182
24.8565,89.8897,17.2138,17.3201,17.3805,17.4337,17.4815,17.5214,17.5497,17.5716,17.5892
24.8600,89.8496,17.3134,17.4103,17.4630,17.5096,17.5529,17.5899,17.6165,17.6375,17.6544
24.8366,89.8273,18.7225,18.9226,18.7931,18.7850,18.7964,18.7600,18.7136,18.7335,18.7345
24.8328,89.8245,18.8400,19.0400,18.9000,18.8900,18.9000,18.8600,18.8100,18.8300,18.8300
25.0692,89.7997,15.2014,15.5505,15.8327,15.8886,15.8917,15.9112,15.9039,15.8780,15.8827
25.0383,89.8054,16.3302,16.4512,16.6531,16.7328,16.7662,16.7991,16.8165,16.8246,16.8371
25.0143,89.7965,16.7258,16.8117,16.9890,17.0668,17.1141,17.1561,17.1855,17.2050,17.2214
25.0008,89.7932,16.7752,16.8798,17.0527,17.1395,17.1946,17.2431,17.2771,17.2998,17.3185
24.9894,89.8013,17.0422,17.1522,17.2484,17.3159,17.3700,17.4125,17.4432,17.4642,17.4812
24.9753,89.7744,17.0863,17.1992,17.3010,17.3747,17.4311,17.4739,17.5041,17.5254,17.5428
24.9883,89.8013,17.0422,17.1522,17.2484,17.3159,17.3700,17.4125,17.4432,17.4642,17.4812
24.9423,89.7976,17.1686,17.2920,17.3941,17.4633,17.5198,17.5624,17.5915,17.6130,17.6306
24.9426,89.8561,17.1474,17.2828,17.3914,17.4678,17.5268,17.5704,17.5997,17.6213,17.6390
24.8643,89.8515,17.3134,17.4103,17.4630,17.5096,17.5529,17.5899,17.6165,17.6375,17.6544
24.9426,89.8561,17.1474,17.2828,17.3914,17.4678,17.5268,17.5704,17.5997,17.6213,17.6390
24.8857,89.8935,17.0975,17.2167,17.2865,17.3476,17.4019,17.4457,17.4765,17.4997,17.5182
24.9426,89.8561,17.1474,17.2828,17.3914,17.4678,17.5268,17.5704,17.5997,17.6213,17.6390
