Lat,Lon,H0,H1,H2,H3,H4,H5,H6,H7,H8
25.004,89.685,16.676,16.586,16.486,16.366,16.216,16.046,15.920,15.794,15.668
25.009,89.728,17.121,17.031,16.931,16.811,16.661,16.491,16.365,16.239,16.113
24.971,89.744,17.746,17.656,17.556,17.436,17.286,17.116,16.990,16.864,16.738
24.939,89.760,18.048,17.958,17.858,17.738,17.588,17.418,17.292,17.166,17.040
24.928,89.766,18.201,18.111,18.011,17.891,17.741,17.571,17.445,17.319,17.193
24.914,89.789,18.223,18.133,18.033,17.913,17.763,17.593,17.467,17.341,17.215
24.870,89.788,18.267,18.177,18.077,17.957,17.807,17.637,17.511,17.385,17.259
24.838,89.811,18.300,18.210,18.110,17.990,17.840,17.670,17.544,17.418,17.292
25.021,89.755,16.671,16.581,16.481,16.361,16.211,16.041,15.915,15.789,15.663
25.012,89.788,16.671,16.581,16.481,16.361,16.211,16.041,15.915,15.789,15.663
25.003,89.790,16.716,16.626,16.526,16.406,16.256,16.086,15.960,15.834,15.708
24.988,89.785,16.876,16.786,16.686,16.566,16.416,16.246,16.120,15.994,15.868
24.975,89.774,17.024,16.934,16.834,16.714,16.564,16.394,16.268,16.142,16.016
24.964,89.786,17.048,16.958,16.858,16.738,16.588,16.418,16.292,16.166,16.040
24.943,89.797,17.092,17.002,16.902,16.782,16.632,16.462,16.336,16.210,16.084
24.931,89.800,17.121,17.031,16.931,16.811,16.661,16.491,16.365,16.239,16.113
24.913,89.799,17.159,17.069,16.969,16.849,16.699,16.529,16.403,16.277,16.151
24.889,89.825,17.181,17.091,16.991,16.871,16.721,16.551,16.425,16.299,16.173
24.863,89.845,17.196,17.106,17.006,16.886,16.736,16.566,16.440,16.314,16.188
24.987,89.897,14.242,14.152,14.052,13.932,13.782,13.612,13.486,13.360,13.234
24.978,89.893,14.996,14.906,14.806,14.686,14.536,14.366,14.240,14.114,13.988
24.966,89.904,15.805,15.715,15.615,15.495,15.345,15.175,15.049,14.923,14.797
24.923,89.908,16.383,16.293,16.193,16.073,15.923,15.753,15.627,15.501,15.375
